CLASS,CODE, URL,CRN,TYPE,SECTION,TIME,DAY,LOCATION,INSTRUCTOR
ENGL547,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/547,39293,Lecture-Discussion,F,02:00PM - 04:50PM,M,135 English Building,"Loughran, P"
ENGL559,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/559,39298,Lecture-Discussion,X,12:00PM - 02:50PM,W,135 English Building,"Freeburg, C"
ENGL563,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/563,39300,Lecture-Discussion,AB,01:00PM - 03:50PM,T,102 1205 W Nevada,"Beauchamp, T
Paik, A"
ENGL564,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/564,44285,Lecture-Discussion,SR,03:30PM - 05:50PM,T,133 1207 W Oregon,"Ruiz, S"
ENGL578,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/578,39658,Lecture-Discussion,Q,01:00PM - 03:50PM,R,135 English Building,"Littlefield, M"
ENGL582,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/582,32283,Lecture-Discussion,E,01:00PM - 03:50PM,M,125 English Building,"Russell, L"
ENGL584,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/584,32287,Lecture-Discussion,E,01:00PM - 03:50PM,W,125 English Building,"Mortensen, P"
ENGL586,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/586,70294,Lecture-Discussion,JB,01:30PM - 04:20PM,W,n.a,"Byrd, J"
ENGL591,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/591,10073,Independent Study,,ARRANGED,n.a,n.a,
ENGL591,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/591,69763,Independent Study,CW2,ARRANGED,n.a,n.a,
ENGL593,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/593,45985,Lecture,Q,12:00PM - 02:50PM,T,125 English Building,"Basu, M"
ENGL593,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/593,32290,Lecture-Discussion,R,01:00PM - 03:50PM,M,309 English Building,"Capino, J"
ENGL599,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/599,10079,Independent Study,,ARRANGED,n.a,n.a,
ENSU303,ENSU,https://courses.illinois.edu/schedule/2020/spring/ENSU/303,56044,Online,A,ARRANGED,n.a,n.a,"Duncan, R"
ENT599,ENT,https://courses.illinois.edu/schedule/2020/spring/ENT/599,10083,Independent Study,,ARRANGED,n.a,n.a,
ENVS101,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/101,34667,Lecture,A,03:00PM - 03:50PM,MWF,1024 Chemistry Annex,
ENVS210,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/210,30543,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,313 Mumford Hall,"Nogueira Meirelles De Souza, M"
ENVS210,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/210,30544,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,313 Mumford Hall,"Nogueira Meirelles De Souza, M"
ENVS210,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/210,30545,Discussion/ Recitation,AD4,12:00PM - 12:50PM,F,313 Mumford Hall,"Stevens, A"
ENVS210,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/210,55320,Discussion/ Recitation,AD6,02:00PM - 02:50PM,F,313 Mumford Hall,"Stevens, A"
ENVS210,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/210,30546,Lecture,AL1,02:00PM - 02:50PM,MW,150 Animal Sciences Laboratory,"Ordonez Morales, P"
ENVS220,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/220,52698,Laboratory-Discussion,A,10:00AM - 10:50AM,MWF,W203 Turner Hall,"Cupps-Miller, H"
ENVS299,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/299,10084,Independent Study,,ARRANGED,n.a,n.a,
ENVS301,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/301,63305,Lecture-Discussion,A,01:30PM - 02:50PM,MW,337 National Soybean Res Ctr,"Guest, J
Khanna, M
Rodriguez, M"
ENVS310,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/310,60468,Discussion/ Recitation,AD1,10:00AM - 10:50AM,F,"30 ACES Lib, Info & Alum Ctr","Brazee, R"
ENVS310,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/310,60469,Discussion/ Recitation,AD2,11:00AM - 11:50AM,F,"30 ACES Lib, Info & Alum Ctr","Brazee, R"
ENVS310,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/310,60470,Discussion/ Recitation,AD3,01:00PM - 01:50PM,F,"30 ACES Lib, Info & Alum Ctr","Brazee, R"
ENVS310,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/310,60460,Lecture,AL1,11:00AM - 11:50AM,MW,149 National Soybean Res Ctr,"Brazee, R"
ENVS330,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/330,59463,Lecture-Discussion,B,02:00PM - 03:20PM,TR,320 Mumford Hall,"Cupps-Miller, H"
ENVS336,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/336,31533,Lecture-Discussion,A,02:00PM - 03:20PM,TR,W115 Turner Hall,"Lee, D"
ENVS336,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/336,31536,Lecture-Discussion,JS,02:00PM - 03:20PM,TR,W115 Turner Hall,"Lee, D"
ENVS380,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/380,33539,Laboratory,AB1,03:00PM - 05:20PM,M,220 Davenport Hall,"Altaner, S
Delucia, M"
ENVS380,ENVS,https://courses.illinois.edu/schedule/2020/spring/ENVS/380,33540,Lecture,AL1,02:00PM - 02:50PM,MWF,121 Davenport Hall,"Altaner, S"
